bus_id,route_number,start_point,end_point,start_time,end_time,frequency,route_length,num_buses
1,1,"New Maloya Colony",Manimajra,06:05:00,17:10:00,"20 Mins",24.00,8
2,2,"Maloya New Colony","Mansa Devi",06:10:00,20:30:00,"30-35 Mins",30.00,6
3,2A,"Mani Majra","Mani Majra",05:40:00,20:30:00,"20-25 Mins",38.30,6
4,2C,"Mani Majra","Mani Majra",05:30:00,20:20:00,"20-25 Mins",38.30,6
5,4A,ISBT-43,ISBT-43,06:45:00,16:50:00,"25-30 Mins",31.00,4
6,4C,ISBT-43,ISBT-43,07:00:00,17:05:00,"25-30 Mins",31.00,4
7,5A,"Ram Darbar","Ram Darbar",05:45:00,21:25:00,"10 Mins",38.40,12
8,5C,"Ram Darbar","Ram Darbar",05:40:00,19:30:00,"10 Mins",38.40,12
9,6,"New Maloya Colony","Raipur Kalan",07:00:00,18:55:00,"30 Mins",25.50,6
10,7,"New Maloya Colony",Ramdarbar,07:25:00,18:35:00,"25 Mins",21.50,6
11,9A,"Mansa Devi","Mansa Devi",06:10:00,20:30:00,"30 Mins",37.00,4
12,9C,"Mansa Devi","Mansa Devi",05:40:00,20:45:00,"30 Mins",37.00,4
13,28A,ISBT-43,"Rani Majra",08:00:00,14:55:00,"75 Mins",23.00,2
14,28B,ISBT-43,Parol,06:10:00,20:50:00,"20 Mins",17.00,6
15,239,ISBT-43,Lake,06:55:00,19:55:00,"10-15 Mins",14.00,7
16,11A,"Rock Garden","Sukhna Lake",10:10:00,16:10:00,"30 Mins",3.00,1
17,2F,PGI,"Dhakoli Border",06:55:00,21:05:00,"20 Mins",30.00,10
18,2G,PGI,"Panchkula Bus Stand",08:30:00,15:10:00,"50 Mins",13.00,2
19,8,"Mohali Ph-XI",PGI,06:05:00,20:50:00,"75 Mins",21.00,2
20,10,ISBT-43,Manimajra,06:25:00,19:35:00,"20-25 Mins",17.50,6
21,11,"Railway Station","Civil Sectt",08:35:00,16:40:00,"60 Mins",15.00,2
22,17,ISBT-43,Behlana,06:20:00,19:50:00,"20 Mins",15.50,6
23,18,ISBT-43,Kaimbwala,06:00:00,20:40:00,"30 Mins",15.50,4
24,14,ISBT-43,"Mansa Devi",08:30:00,15:20:00,"60 Mins",17.00,2
25,20,Chandigarh,Kharar,06:30:00,20:45:00,"30 Mins",25.60,6
26,20A,Chandigarh,Kharar,05:40:00,20:50:00,"60 Mins",25.20,3
27,22,ISBT-43,"IT Park",05:40:00,20:30:00,"20 Mins",19.60,7
28,23A,ISBT-43,"Khuda Ali Sher",06:30:00,21:35:00,"15 Mins",12.80,8
29,24A,ISBT-43,PGI,22:00:00,04:40:00,"80 Mins",9.80,1
30,24C,ISBT-17,ISBT-43,22:15:00,05:20:00,"45 Mins",5.70,1
31,26,"Mullanpur Eco City",Dhakou,05:25:00,21:00:00,"35 Mins",32.00,6
32,28,"New Maloya Colony",Manimajra,06:15:00,20:00:00,"30 Mins",26.00,6
33,30,ISBT-43,"Nada Sahib",06:05:00,21:05:00,"25-30 Mins",21.50,6
34,30A,ISBT-43,Cantonment,05:10:00,20:45:00,"30 Mins",21.10,5
35,30B,ISBT-43,Ramgarh,06:00:00,21:20:00,"25 Mins",31.00,8
36,32,PGI,Derabassi,05:30:00,20:25:00,"20-25 Mins",36.20,10
37,32B,PGI,Ramgarh,06:05:00,21:50:00,"20 Mins",31.00,10
38,34,PGI,Derabassi,05:30:00,21:05:00,"20 Mins",28.00,9
39,35,ISBT-17,Kharar,06:10:00,21:00:00,"20 Mins",19.20,7
40,35A,ISBT-17,Sector-123,06:00:00,20:40:00,"40 Mins",23.00,4
41,35B,ISBT-17,Kharar,05:50:00,21:50:00,"20 Mins",19.20,7
42,37,ISBT-43,Manimajra,21:10:00,03:50:00,"50 Mins",32.00,2
43,38,PGI,Jheurherri,07:40:00,16:30:00,"60 Mins",27.00,3
44,38A,PGI,Jheurherri,08:00:00,16:00:00,"60 Mins",26.00,3
45,39,"Mohali Ph-11",PGI,05:15:00,21:20:00,"15 Mins",27.50,12
46,71,ISBT-43,"Saketri (Kaimbwala)",06:25:00,21:15:00,"30 Mins",24.00,6
47,79,PGI,"Chhattbir Zoo",07:00:00,19:45:00,"45 Mins",27.90,4
48,80,Zirakpur,PGI,06:00:00,21:20:00,"30 Mins",20.00,5
49,85,ISBT-43,Zirakpur,06:15:00,20:45:00,"30 Mins",19.50,5
50,101,PGI,Manoli,07:20:00,15:00:00,"80 Mins",24.00,2
51,123A,PGI,"Mohali R/Station",05:55:00,20:45:00,"30 Mins",19.80,5
